ed,depth,size,time
5,2,9131149,
5,2,9743429,
5,3,12037884,
5,3,11253847,
5,3,11594971,
5,3,11424360,
5,3,11334561,
5,3,10765269,
5,3,11444069,
5,3,10813577,
5,3,9945596,
5,3,11107653,
5,3,11148514,
5,3,11897667,
5,3,12016190,
5,3,10472585,
5,3,12205514,
5,3,11514347,
5,3,10332664,
5,3,10230629,
5,3,10748592,
5,3,10847062,
5,3,11439392,
5,3,10754406,
5,3,11811528,
5,3,12413272,
5,3,11707211,
5,3,11485682,
5,3,11725121,
5,3,11000866,
5,3,9830678,
5,3,11390272,
5,3,10537846,
5,3,11312586,
5,3,11910241,
5,3,12393470,
5,3,10571371,
5,3,11080754,
5,3,10999542,
5,3,10114185,
5,3,10867805,
5,3,11493157,
5,4,11953556,
5,4,11881020,
5,4,12646224,
5,4,13300288,
5,4,12416211,
5,4,12817641,
5,4,12519679,
5,4,12597744,
5,4,12260657,
5,4,10989851,
5,4,13516259,
5,4,12696211,
5,4,13223363,
5,4,12246778,
5,4,13160544,
5,4,11608682,
5,4,11442745,
5,4,11297324,
5,4,13066393,
5,4,11900141,
5,4,12647914,
5,4,12001877,
5,4,11847000,
5,4,13726522,
5,4,12926765,
5,4,12682292,
5,4,10892454,
5,4,12145270,
5,4,13001108,
5,4,12433235,
5,4,11647346,
5,4,12579214,
5,4,13136389,
5,4,13663362,
5,4,12229574,
5,4,11663057,
5,4,12199410,
5,4,11240453,
5,4,11979503,
5,4,12696002,
5,5,13530280,
5,5,13772682,
5,5,12849705,
5,5,12783298,
5,5,13461309,
5,5,13594967,
5,5,13334420,
5,5,14291790,
5,5,13195931,
5,5,11821886,
5,5,14178712,
5,5,12492547,
5,5,13136195,
5,5,13630190,
5,5,14177288,
5,5,14559561,
5,5,12122544,
5,5,12333454,
5,5,12815980,
5,5,12917236,
5,5,13631107,
5,5,14032394,
5,5,12729782,
5,5,14770896,
5,5,13904670,
5,5,13630390,
5,5,11738573,
5,5,14018405,
5,5,13057488,
5,5,12509771,
5,5,13522380,
5,5,13320107,
5,5,14103397,
5,5,14690440,
5,5,13142235,
5,5,12536222,
5,5,12144156,
5,5,13138206,
