ED, intextSwitchpoint,GPU_time,CPU_time,Threads,GPU_matches,CPU_matches
5, 5, 1:31.24, 1:56.71, 10, 68767458, 68767458
5, 5, 1:31.64, 1:42.73, 10, 68767458, 68767458
5, 5, 1:31.83, 1:42.64, 10, 68767458, 68767458
5, 5, 1:31.67, 1:43.22, 10, 68767458, 68767458
5, 5, 1:30.22, 1:42.68, 10, 68767458, 68767458
5, 6, 1:32.24, 1:45.46, 10, 68767455, 68767455
5, 6, 1:33.35, 2:06.10, 10, 68767455, 68767455
5, 6, 1:31.64, 1:55.43, 10, 68767455, 68767455
5, 6, 1:32.06, 1:45.36, 10, 68767455, 68767455
5, 6, 1:32.45, 1:45.66, 10, 68767455, 68767455
5, 7, 1:33.95, 1:47.88, 10, 68767457, 68767457
5, 7, 1:33.88, 1:47.79, 10, 68767457, 68767457
5, 7, 1:34.80, 1:48.04, 10, 68767457, 68767457
5, 7, 1:33.78, 1:47.92, 10, 68767457, 68767457
5, 7, 1:35.03, 1:47.92, 10, 68767457, 68767457
5, 8, 1:35.71, 1:50.29, 10, 68767451, 68767451
5, 8, 1:36.42, 1:50.37, 10, 68767451, 68767451
5, 8, 1:36.13, 1:50.16, 10, 68767451, 68767451
5, 8, 1:36.19, 1:50.25, 10, 68767451, 68767451
5, 8, 1:34.21, 1:50.27, 10, 68767451, 68767451
5, 9, 1:36.87, 1:52.42, 10, 68767446, 68767446
5, 9, 1:36.26, 2:01.03, 10, 68767446, 68767446
5, 9, 1:37.12, 1:52.72, 10, 68767446, 68767446
5, 9, 1:37.78, 1:52.43, 10, 68767446, 68767446
5, 9, 1:37.21, 1:52.61, 10, 68767446, 68767446
5, 10, 1:38.61, 1:54.45, 10, 68767449, 68767449
5, 10, 1:36.55, 1:54.54, 10, 68767449, 68767449
5, 10, 1:39.07, 1:54.78, 10, 68767449, 68767449
5, 10, 1:38.98, 1:55.08, 10, 68767449, 68767449
5, 10, 1:38.23, 1:54.99, 10, 68767449, 68767449
6, 1, 2:28.51, 2:41.27, 10, 110800608, 110800614
6, 1, 2:27.91, 2:41.68, 10, 110800608, 110800614
6, 1, 2:33.21, 2:45.68, 10, 110800608, 110800614
6, 1, 2:27.86, 2:39.23, 10, 110800608, 110800614
6, 1, 2:28.73, 2:39.19, 10, 110800608, 110800614
6, 2, 2:36.77, 2:53.23, 10, 110800629, 110800638
6, 2, 2:37.70, 2:53.42, 10, 110800629, 110800638
6, 2, 2:36.30, 2:53.39, 10, 110800629, 110800638
6, 2, 2:36.13, 2:53.53, 10, 110800629, 110800638
6, 2, 2:37.90, 2:53.32, 10, 110800629, 110800638
6, 3, 2:43.67, 3:05.47, 10, 110800632, 110800643
6, 3, 2:42.26, 3:05.33, 10, 110800632, 110800643
6, 3, 2:42.27, 3:05.18, 10, 110800632, 110800643
6, 3, 2:39.08, 3:04.95, 10, 110800632, 110800643
6, 3, 2:41.43, 3:05.49, 10, 110800632, 110800643
6, 4, 2:47.57, 3:14.99, 10, 110800633, 110800646
6, 4, 2:49.65, 3:15.25, 10, 110800633, 110800646
6, 4, 2:49.50, 3:36.76, 10, 110800633, 110800646
6, 4, 2:47.49, 3:14.87, 10, 110800633, 110800646
6, 4, 2:49.03, 3:15.09, 10, 110800633, 110800646
6, 5, 2:55.97, 3:24.24, 10, 110800639, 110800651
6, 5, 2:57.95, 3:24.28, 10, 110800639, 110800651
6, 5, 2:57.50, 3:24.11, 10, 110800639, 110800651
6, 5, 2:57.60, 3:24.47, 10, 110800639, 110800651
6, 5, 2:56.84, 3:26.94, 10, 110800639, 110800651
6, 6, 3:03.02, 3:34.60, 10, 110800642, 110800654
6, 6, 3:03.40, 3:32.39, 10, 110800642, 110800654
6, 6, 2:59.67, 3:32.40, 10, 110800642, 110800654
6, 6, 3:00.54, 3:37.60, 10, 110800642, 110800654
6, 6, 3:00.33, 3:32.11, 10, 110800642, 110800654
6, 7, 3:06.14, 3:43.65, 10, 110800652, 110800663
6, 7, 3:05.95, 3:40.23, 10, 110800652, 110800663
6, 7, 3:08.51, 3:40.09, 10, 110800652, 110800663
6, 7, 3:04.97, 3:52.46, 10, 110800652, 110800663
6, 7, 3:06.36, 3:43.43, 10, 110800652, 110800663
6, 8, 3:10.57, 3:52.49, 10, 110800652, 110800663
6, 8, 3:12.80, 3:50.39, 10, 110800652, 110800663
6, 8, 3:11.98, 3:47.40, 10, 110800652, 110800663
6, 8, 3:13.25, 4:12.86, 10, 110800652, 110800663
6, 8, 3:14.82, 3:53.70, 10, 110800652, 110800663
6, 9, 3:20.67, 4:05.70, 10, 110800652, 110800663
6, 9, 3:45.52, 4:19.99, 10, 110800652, 110800663
6, 9, 3:19.22, 3:58.51, 10, 110800652, 110800663
6, 9, 3:21.43, 3:58.67, 10, 110800652, 110800663
6, 9, 3:22.75, 4:02.02, 10, 110800652, 110800663
6, 10, 3:25.68, 4:05.38, 10, 110800650, 110800661
6, 10, 3:26.16, 4:07.38, 10, 110800650, 110800661
6, 10, 3:28.23, 4:05.06, 10, 110800650, 110800661
6, 10, 3:25.81, 4:07.19, 10, 110800650, 110800661
6, 10, 3:24.31, 4:48.49, 10, 110800650, 110800661
7, 1, 5:26.50, 6:08.03, 10, 171397067, 171397117
7, 1, 5:25.74, 6:08.76, 10, 171397067, 171397117
7, 1, 5:24.97, 6:07.87, 10, 171397067, 171397117
7, 1, 5:22.01, 6:26.03, 10, 171397067, 171397117
7, 1, 5:22.55, 6:25.53, 10, 171397067, 171397117
7, 2, 5:49.59, 6:55.13, 10, 171397394, 171397477
7, 2, 5:45.20, 7:10.96, 10, 171397394, 171397477
7, 2, 5:48.26, 6:55.21, 10, 171397394, 171397477
7, 2, 5:58.75, 7:01.75, 10, 171397394, 171397477
7, 2, 5:56.46, 7:01.65, 10, 171397394, 171397477
7, 3, 6:17.92, 7:43.15, 10, 171397450, 171397546
7, 3, 6:19.79, 7:41.59, 10, 171397450, 171397546
7, 3, 6:18.65, 7:41.16, 10, 171397450, 171397546
7, 3, 6:17.35, 7:41.48, 10, 171397450, 171397546
7, 3, 6:19.79, 7:41.60, 10, 171397450, 171397546
7, 4, 6:40.97, 8:15.18, 10, 171397485, 171397596
